time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447700000	20.154	10.2913	4.78768	1.30007	0.43786	lidar	0.312713	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1696	10.5176	4.66918	1.35217	0.497253	radar	0.112684	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2098	10.8113	4.80065	1.39544	0.520544	lidar	0.523963	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2551	11.0483	4.8589	1.40919	0.491214	radar	0.0193177	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2853	11.3026	4.89155	1.43808	0.496507	lidar	0.02481	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2288	11.5353	4.68469	1.52541	0.62373	radar	0.420675	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.2798	11.7756	4.69813	1.53981	0.604236	lidar	1.04472	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3196	11.9961	4.83582	1.51835	0.484341	radar	0.25447	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.2947	12.3152	5.00976	1.56692	0.513101	lidar	0.315435	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2382	12.5552	4.87906	1.63685	0.609602	radar	0.184672	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.2566	12.7902	4.85366	1.6509	0.590743	lidar	0.520436	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2453	13.0314	4.86104	1.6732	0.578601	radar	0.0118872	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2231	13.2433	4.79837	1.69613	0.571523	lidar	0.0545045	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.1881	13.474	4.82538	1.71489	0.542909	radar	0.031433	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.1597	13.74	4.88363	1.73968	0.540598	lidar	0.373092	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1007	13.9725	4.84734	1.77926	0.570078	radar	0.015065	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0436	14.2342	4.90641	1.80955	0.572542	lidar	0.129101	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	19.9717	14.4615	4.90541	1.83774	0.565213	radar	0.027079	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8669	14.7324	5.00846	1.87945	0.580855	lidar	0.0901706	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.7933	14.9574	5.01473	1.89256	0.536937	radar	0.0493565	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.7724	15.1557	4.88716	1.89725	0.512146	lidar	0.520801	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6372	15.3662	4.73276	1.99415	0.695959	radar	0.48479	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6192	15.5225	4.53942	2.00091	0.663871	lidar	0.736245	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5338	15.7238	4.54409	2.01796	0.623151	radar	0.0204281	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4297	15.9419	4.57963	2.04872	0.622729	lidar	0.0514126	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3383	16.1423	4.59967	2.05106	0.54618	radar	0.0822692	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2397	16.3234	4.54693	2.07611	0.543715	lidar	0.0244271	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1255	16.5184	4.53904	2.10767	0.556424	radar	0.00318819	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9884	16.7435	4.6259	2.13792	0.559218	lidar	0.0813297	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8351	16.9363	4.61254	2.21446	0.691886	radar	0.278044	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6401	17.1934	4.82791	2.2564	0.699807	lidar	0.350139	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5589	17.3884	4.74612	2.21272	0.50706	radar	0.424826	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3454	17.6103	4.90325	2.25309	0.521387	lidar	0.514239	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
